,Model,Tumor,Treatment,BestResCatCalc
721,X-2861,CRC,CLR457,1
658,X-1536,CRC,CLR457,1
912,X-5254,CRC,HDM201,0
916,X-5446,CRC,HDM201,1
861,X-2659,CRC,HDM201,0
852,X-2483,CRC,HDM201,0
917,X-5494,CRC,HDM201,0
799,X-1290,CRC,HDM201,0
828,X-1855,CRC,HDM201,0
792,X-1119,CRC,HDM201,0
874,X-3093,CRC,HDM201,1
815,X-1536,CRC,HDM201,1
1008,X-1329,CRC,LEE011,0
1153,X-5494,CRC,LEE011,1
1112,X-3792,CRC,LEE011,1
1081,X-2822,CRC,LEE011,1
1093,X-3093,CRC,LEE011,0
1061,X-2403,CRC,LEE011,0
1021,X-1538,CRC,LEE011,1
995,X-1119,CRC,LEE011,1
1083,X-2846,CRC,LEE011,1
1020,X-1536,CRC,LEE011,1
1100,X-3267,CRC,LEE011,1
1770,X-1303,CRC,LFW527 + binimetinib,1
1775,X-1500,CRC,LFW527 + binimetinib,1
1762,X-1119,CRC,LFW527 + binimetinib,1
1811,X-5254,CRC,LFW527 + binimetinib,0
1794,X-2182,CRC,LFW527 + binimetinib,0
1793,X-2145,CRC,LFW527 + binimetinib,1
1768,X-1256,CRC,LFW527 + binimetinib,0
1815,X-5495,CRC,LFW527 + binimetinib,1
1213,X-2659,CRC,LKA136,1
1265,X-5494,CRC,LKA136,1
1168,X-1290,CRC,LKA136,0
1186,X-1855,CRC,LKA136,1
1162,X-1119,CRC,LKA136,0
1229,X-3267,CRC,LKA136,1
1181,X-1536,CRC,LKA136,1
1218,X-2861,CRC,LKA136,0
1177,X-1443,CRC,LKA136,1
1264,X-5446,CRC,LKA136,0
1489,X-5254,CRC,binimetinib,1
1493,X-5446,CRC,binimetinib,0
1411,X-2659,CRC,binimetinib,0
1400,X-2483,CRC,binimetinib,1
1494,X-5494,CRC,binimetinib,1
1342,X-1303,CRC,binimetinib,1
1388,X-2145,CRC,binimetinib,1
1334,X-1119,CRC,binimetinib,0
1431,X-3205,CRC,binimetinib,0
1371,X-1855,CRC,binimetinib,0
1572,X-1329,CRC,cetuximab,0
1624,X-5446,CRC,cetuximab,0
1617,X-3671,CRC,cetuximab,1
1608,X-2822,CRC,cetuximab,0
1612,X-3093,CRC,cetuximab,0
1602,X-2403,CRC,cetuximab,1
1580,X-1538,CRC,cetuximab,1
1563,X-1119,CRC,cetuximab,0
1609,X-2846,CRC,cetuximab,1
1579,X-1536,CRC,cetuximab,0
1755,X-5254,CRC,encorafenib,0
1758,X-5446,CRC,encorafenib,0
1716,X-2538,CRC,encorafenib,0
1712,X-2374,CRC,encorafenib,0
1759,X-5494,CRC,encorafenib,0
1695,X-1290,CRC,encorafenib,0
1703,X-1538,CRC,encorafenib,1
1691,X-1119,CRC,encorafenib,0
1726,X-2846,CRC,encorafenib,1
1702,X-1536,CRC,encorafenib,0
23,X-1835,NSCLC,BGJ398,0
45,X-3237,NSCLC,BGJ398,0
22,X-1834,NSCLC,BGJ398,0
11,X-1499,NSCLC,BGJ398,0
50,X-3843,NSCLC,BGJ398,0
2,X-1156,NSCLC,BGJ398,0
157,X-3029,NSCLC,BKM120,1
95,X-1658,NSCLC,BKM120,1
103,X-1835,NSCLC,BKM120,0
88,X-1499,NSCLC,BKM120,0
211,X-4819,NSCLC,BKM120,0
67,X-1156,NSCLC,BKM120,0
1831,X-1835,NSCLC,BKM120 + binimetinib,1
1855,X-3237,NSCLC,BKM120 + binimetinib,1
1830,X-1834,NSCLC,BKM120 + binimetinib,1
1823,X-1499,NSCLC,BKM120 + binimetinib,0
1859,X-3843,NSCLC,BKM120 + binimetinib,0
1816,X-1156,NSCLC,BKM120 + binimetinib,0
275,X-1934,NSCLC,BYL719,0
335,X-3843,NSCLC,BYL719,0
271,X-1835,NSCLC,BYL719,0
260,X-1586,NSCLC,BYL719,1
352,X-4819,NSCLC,BYL719,0
236,X-1156,NSCLC,BYL719,0
409,X-1835,NSCLC,BYL719 + LJM716,1
460,X-3237,NSCLC,BYL719 + LJM716,0
408,X-1834,NSCLC,BYL719 + LJM716,0
395,X-1499,NSCLC,BYL719 + LJM716,0
470,X-3843,NSCLC,BYL719 + LJM716,0
374,X-1156,NSCLC,BYL719 + LJM716,0
538,X-1835,NSCLC,CGM097,0
587,X-3237,NSCLC,CGM097,0
537,X-1834,NSCLC,CGM097,0
524,X-1499,NSCLC,CGM097,1
599,X-3843,NSCLC,CGM097,0
506,X-1156,NSCLC,CGM097,0
1652,X-1835,NSCLC,CKX620,1
1680,X-3843,NSCLC,CKX620,0
1651,X-1834,NSCLC,CKX620,1
1642,X-1499,NSCLC,CKX620,0
1682,X-4819,NSCLC,CKX620,1
1629,X-1156,NSCLC,CKX620,0
725,X-3029,NSCLC,CLR457,1
664,X-1658,NSCLC,CLR457,1
672,X-1835,NSCLC,CLR457,1
656,X-1499,NSCLC,CLR457,0
770,X-4819,NSCLC,CLR457,1
635,X-1156,NSCLC,CLR457,0
822,X-1787,NSCLC,HDM201,0
878,X-3237,NSCLC,HDM201,0
813,X-1499,NSCLC,HDM201,0
888,X-3843,NSCLC,HDM201,0
793,X-1156,NSCLC,HDM201,0
795,X-1172,NSCLC,HDM201,1
1029,X-1787,NSCLC,LEE011,1
1099,X-3237,NSCLC,LEE011,1
1018,X-1499,NSCLC,LEE011,1
1115,X-3843,NSCLC,LEE011,0
996,X-1156,NSCLC,LEE011,0
998,X-1172,NSCLC,LEE011,1
1781,X-1823,NSCLC,LFW527 + binimetinib,0
1807,X-3843,NSCLC,LFW527 + binimetinib,1
1776,X-1586,NSCLC,LFW527 + binimetinib,1
1809,X-4819,NSCLC,LFW527 + binimetinib,0
1763,X-1156,NSCLC,LFW527 + binimetinib,1
1765,X-1172,NSCLC,LFW527 + binimetinib,1
1296,X-1934,NSCLC,LLM871,0
1320,X-3843,NSCLC,LLM871,1
1293,X-1835,NSCLC,LLM871,0
1282,X-1586,NSCLC,LLM871,1
1324,X-4819,NSCLC,LLM871,0
1273,X-1156,NSCLC,LLM871,0
1424,X-3029,NSCLC,binimetinib,1
1362,X-1658,NSCLC,binimetinib,0
1370,X-1835,NSCLC,binimetinib,1
1355,X-1499,NSCLC,binimetinib,0
1479,X-4819,NSCLC,binimetinib,1
1335,X-1156,NSCLC,binimetinib,0
1588,X-1835,NSCLC,cetuximab,1
1615,X-3237,NSCLC,cetuximab,0
1587,X-1834,NSCLC,cetuximab,0
1577,X-1499,NSCLC,cetuximab,0
1619,X-3843,NSCLC,cetuximab,0
1564,X-1156,NSCLC,cetuximab,0
1523,X-1835,NSCLC,paclitaxel,1
1549,X-3843,NSCLC,paclitaxel,0
1522,X-1834,NSCLC,paclitaxel,0
1511,X-1499,NSCLC,paclitaxel,0
1553,X-4819,NSCLC,paclitaxel,0
1502,X-1156,NSCLC,paclitaxel,0
116,X-2081,PDAC,BKM120,1
131,X-2428,PDAC,BKM120,1
71,X-1199,PDAC,BKM120,1
196,X-4226,PDAC,BKM120,1
142,X-2633,PDAC,BKM120,1
138,X-2564,PDAC,BKM120,1
113,X-2026,PDAC,BKM120,0
200,X-4377,PDAC,BKM120,0
197,X-4316,PDAC,BKM120,1
1846,X-2428,PDAC,BKM120 + binimetinib,1
1818,X-1199,PDAC,BKM120 + binimetinib,1
1865,X-4018,PDAC,BKM120 + binimetinib,1
1849,X-2684,PDAC,BKM120 + binimetinib,1
1848,X-2633,PDAC,BKM120 + binimetinib,1
1834,X-1959,PDAC,BKM120 + binimetinib,1
1872,X-5205,PDAC,BKM120 + binimetinib,1
1866,X-4226,PDAC,BKM120 + binimetinib,1
283,X-2081,PDAC,BYL719,1
297,X-2428,PDAC,BYL719,1
333,X-3800,PDAC,BYL719,1
240,X-1199,PDAC,BYL719,1
344,X-4226,PDAC,BYL719,1
306,X-2633,PDAC,BYL719,1
304,X-2564,PDAC,BYL719,0
280,X-2026,PDAC,BYL719,1
347,X-4377,PDAC,BYL719,0
421,X-2081,PDAC,BYL719 + LJM716,0
468,X-3800,PDAC,BYL719 + LJM716,1
475,X-4015,PDAC,BYL719 + LJM716,1
444,X-2684,PDAC,BYL719 + LJM716,1
418,X-2026,PDAC,BYL719 + LJM716,0
489,X-5205,PDAC,BYL719 + LJM716,1
378,X-1199,PDAC,BYL719 + LJM716,1
380,X-1289,PDAC,BYL719 + LJM716,1
684,X-2081,PDAC,CLR457,0
700,X-2428,PDAC,CLR457,1
639,X-1199,PDAC,CLR457,0
755,X-4018,PDAC,CLR457,1
710,X-2633,PDAC,CLR457,0
707,X-2564,PDAC,CLR457,1
681,X-2026,PDAC,CLR457,1
760,X-4316,PDAC,CLR457,1
759,X-4226,PDAC,CLR457,1
857,X-2564,PDAC,HDM201,1
798,X-1289,PDAC,HDM201,1
898,X-4226,PDAC,HDM201,0
867,X-2997,PDAC,HDM201,0
862,X-2684,PDAC,HDM201,0
837,X-2043,PDAC,HDM201,0
910,X-5205,PDAC,HDM201,1
899,X-4316,PDAC,HDM201,0
942,X-2283,PDAC,INC424,0
947,X-2470,PDAC,INC424,1
925,X-1199,PDAC,INC424,1
982,X-4676,PDAC,INC424,0
954,X-2997,PDAC,INC424,0
952,X-2684,PDAC,INC424,0
939,X-2026,PDAC,INC424,1
985,X-4927,PDAC,INC424,0
1046,X-2043,PDAC,LEE011,0
1057,X-2339,PDAC,LEE011,1
1000,X-1199,PDAC,LEE011,1
1122,X-4018,PDAC,LEE011,1
1069,X-2564,PDAC,LEE011,1
1063,X-2470,PDAC,LEE011,1
1040,X-1948,PDAC,LEE011,0
1127,X-4316,PDAC,LEE011,1
1126,X-4226,PDAC,LEE011,0
1192,X-2081,PDAC,LKA136,0
1202,X-2428,PDAC,LKA136,0
1236,X-3800,PDAC,LKA136,0
1165,X-1199,PDAC,LKA136,1
1246,X-4226,PDAC,LKA136,0
1211,X-2633,PDAC,LKA136,0
1209,X-2564,PDAC,LKA136,1
1190,X-2026,PDAC,LKA136,0
1249,X-4377,PDAC,LKA136,1
1886,X-2470,PDAC,WNT974,0
1873,X-1199,PDAC,WNT974,1
1920,X-4226,PDAC,WNT974,0
1891,X-2684,PDAC,WNT974,0
1890,X-2633,PDAC,WNT974,1
1879,X-2026,PDAC,WNT974,0
1937,X-5205,PDAC,WNT974,1
1921,X-4316,PDAC,WNT974,1
1383,X-2043,PDAC,binimetinib,1
1399,X-2428,PDAC,binimetinib,1
1339,X-1199,PDAC,binimetinib,1
1464,X-4226,PDAC,binimetinib,1
1412,X-2684,PDAC,binimetinib,1
1409,X-2633,PDAC,binimetinib,1
1377,X-1959,PDAC,binimetinib,1
1468,X-4377,PDAC,binimetinib,1
1465,X-4316,PDAC,binimetinib,0
