,Model,Tumor,Treatment,BestResCatCalc
1670,X-2822,CRC,CKX620,1
1632,X-1173,CRC,CKX620,1
1671,X-2846,CRC,CKX620,1
1638,X-1441,CRC,CKX620,1
757,X-4145,CRC,CLR457,0
688,X-2145,CRC,CLR457,1
636,X-1167,CRC,CLR457,0
737,X-3267,CRC,CLR457,1
655,X-1479,CRC,CLR457,1
690,X-2182,CRC,CLR457,0
712,X-2659,CRC,CLR457,0
638,X-1173,CRC,CLR457,1
718,X-2822,CRC,CLR457,1
651,X-1441,CRC,CLR457,1
842,X-2145,CRC,HDM201,1
897,X-4145,CRC,HDM201,0
794,X-1167,CRC,HDM201,1
885,X-3792,CRC,HDM201,0
812,X-1479,CRC,HDM201,1
843,X-2182,CRC,HDM201,0
864,X-2822,CRC,HDM201,1
796,X-1173,CRC,HDM201,1
865,X-2846,CRC,HDM201,0
808,X-1441,CRC,HDM201,1
1035,X-1855,CRC,LEE011,0
997,X-1167,CRC,LEE011,0
1124,X-4145,CRC,LEE011,0
1098,X-3224,CRC,LEE011,0
1017,X-1479,CRC,LEE011,1
1051,X-2145,CRC,LEE011,0
1070,X-2573,CRC,LEE011,0
999,X-1173,CRC,LEE011,0
1075,X-2659,CRC,LEE011,0
1013,X-1441,CRC,LEE011,1
1798,X-2514,CRC,LFW527 + binimetinib,0
1797,X-2483,CRC,LFW527 + binimetinib,1
1806,X-3792,CRC,LFW527 + binimetinib,1
1772,X-1329,CRC,LFW527 + binimetinib,1
1767,X-1234,CRC,LFW527 + binimetinib,0
1808,X-4087,CRC,LFW527 + binimetinib,1
1773,X-1443,CRC,LFW527 + binimetinib,1
1163,X-1167,CRC,LKA136,0
1208,X-2538,CRC,LKA136,0
1235,X-3792,CRC,LKA136,1
1179,X-1479,CRC,LKA136,1
1194,X-2182,CRC,LKA136,0
1216,X-2822,CRC,LKA136,1
1164,X-1173,CRC,LKA136,0
1217,X-2846,CRC,LKA136,0
1176,X-1441,CRC,LKA136,1
1390,X-2182,CRC,binimetinib,0
1462,X-4145,CRC,binimetinib,1
1336,X-1167,CRC,binimetinib,0
1449,X-3792,CRC,binimetinib,0
1356,X-1500,CRC,binimetinib,1
1392,X-2239,CRC,binimetinib,0
1417,X-2822,CRC,binimetinib,1
1338,X-1173,CRC,binimetinib,1
1419,X-2846,CRC,binimetinib,1
1352,X-1443,CRC,binimetinib,0
1618,X-3792,CRC,cetuximab,0
1589,X-1855,CRC,cetuximab,1
1565,X-1167,CRC,cetuximab,0
1614,X-3224,CRC,cetuximab,0
1576,X-1479,CRC,cetuximab,1
1598,X-2145,CRC,cetuximab,0
1606,X-2573,CRC,cetuximab,0
1567,X-1173,CRC,cetuximab,0
1607,X-2659,CRC,cetuximab,0
1573,X-1441,CRC,cetuximab,1
1705,X-1855,CRC,encorafenib,1
1741,X-3792,CRC,encorafenib,0
1692,X-1167,CRC,encorafenib,0
1733,X-3224,CRC,encorafenib,0
1700,X-1479,CRC,encorafenib,1
1707,X-2145,CRC,encorafenib,1
1717,X-2573,CRC,encorafenib,0
1693,X-1173,CRC,encorafenib,0
1720,X-2659,CRC,encorafenib,0
1698,X-1441,CRC,encorafenib,0
19,X-1823,NSCLC,BGJ398,0
29,X-2017,NSCLC,BGJ398,0
28,X-1993,NSCLC,BGJ398,0
16,X-1683,NSCLC,BGJ398,1
9,X-1442,NSCLC,BGJ398,0
17,X-1725,NSCLC,BGJ398,1
99,X-1823,NSCLC,BKM120,0
112,X-2017,NSCLC,BKM120,0
111,X-1993,NSCLC,BKM120,0
96,X-1683,NSCLC,BKM120,1
84,X-1442,NSCLC,BKM120,1
97,X-1725,NSCLC,BKM120,1
1829,X-1823,NSCLC,BKM120 + binimetinib,0
1837,X-2017,NSCLC,BKM120 + binimetinib,1
1836,X-1993,NSCLC,BKM120 + binimetinib,0
1826,X-1683,NSCLC,BKM120 + binimetinib,1
1822,X-1442,NSCLC,BKM120 + binimetinib,1
1827,X-1725,NSCLC,BKM120 + binimetinib,1
270,X-1834,NSCLC,BYL719,1
281,X-2042,NSCLC,BYL719,1
279,X-2017,NSCLC,BYL719,1
265,X-1725,NSCLC,BYL719,1
253,X-1442,NSCLC,BYL719,1
266,X-1787,NSCLC,BYL719,0
405,X-1823,NSCLC,BYL719 + LJM716,0
417,X-2017,NSCLC,BYL719 + LJM716,0
416,X-1993,NSCLC,BYL719 + LJM716,1
402,X-1683,NSCLC,BYL719 + LJM716,1
391,X-1442,NSCLC,BYL719 + LJM716,0
403,X-1725,NSCLC,BYL719 + LJM716,1
534,X-1823,NSCLC,CGM097,0
546,X-2017,NSCLC,CGM097,0
545,X-1993,NSCLC,CGM097,0
531,X-1683,NSCLC,CGM097,1
520,X-1442,NSCLC,CGM097,0
532,X-1725,NSCLC,CGM097,1
1650,X-1823,NSCLC,CKX620,0
1657,X-2042,NSCLC,CKX620,1
1656,X-2017,NSCLC,CKX620,1
1647,X-1683,NSCLC,CKX620,1
1639,X-1442,NSCLC,CKX620,1
1648,X-1725,NSCLC,CKX620,1
668,X-1823,NSCLC,CLR457,0
680,X-2017,NSCLC,CLR457,0
679,X-1993,NSCLC,CLR457,1
665,X-1683,NSCLC,CLR457,1
652,X-1442,NSCLC,CLR457,0
666,X-1725,NSCLC,CLR457,0
836,X-2042,NSCLC,HDM201,0
834,X-2017,NSCLC,HDM201,0
820,X-1683,NSCLC,HDM201,1
809,X-1442,NSCLC,HDM201,0
821,X-1725,NSCLC,HDM201,1
1044,X-2017,NSCLC,LEE011,0
1043,X-1993,NSCLC,LEE011,0
1027,X-1683,NSCLC,LEE011,1
1014,X-1442,NSCLC,LEE011,0
1028,X-1725,NSCLC,LEE011,1
1789,X-2017,NSCLC,LFW527 + binimetinib,1
1788,X-1993,NSCLC,LFW527 + binimetinib,1
1779,X-1787,NSCLC,LFW527 + binimetinib,1
1774,X-1499,NSCLC,LFW527 + binimetinib,1
1780,X-1795,NSCLC,LFW527 + binimetinib,0
1292,X-1834,NSCLC,LLM871,0
1300,X-2042,NSCLC,LLM871,1
1299,X-2017,NSCLC,LLM871,1
1287,X-1725,NSCLC,LLM871,1
1280,X-1442,NSCLC,LLM871,0
1288,X-1787,NSCLC,LLM871,1
1366,X-1823,NSCLC,binimetinib,0
1380,X-2017,NSCLC,binimetinib,1
1379,X-1993,NSCLC,binimetinib,1
1363,X-1683,NSCLC,binimetinib,1
1351,X-1442,NSCLC,binimetinib,1
1364,X-1725,NSCLC,binimetinib,1
1586,X-1823,NSCLC,cetuximab,0
1593,X-2017,NSCLC,cetuximab,0
1592,X-1993,NSCLC,cetuximab,1
1583,X-1683,NSCLC,cetuximab,1
1574,X-1442,NSCLC,cetuximab,0
1584,X-1725,NSCLC,cetuximab,1
1519,X-1823,NSCLC,paclitaxel,0
1529,X-2017,NSCLC,paclitaxel,1
1528,X-1993,NSCLC,paclitaxel,0
1516,X-1683,NSCLC,paclitaxel,1
1509,X-1442,NSCLC,paclitaxel,0
1517,X-1725,NSCLC,paclitaxel,1
132,X-2470,PDAC,BKM120,1
158,X-3038,PDAC,BKM120,1
156,X-3028,PDAC,BKM120,1
190,X-3947,PDAC,BKM120,0
124,X-2283,PDAC,BKM120,0
109,X-1948,PDAC,BKM120,1
191,X-3990,PDAC,BKM120,0
126,X-2339,PDAC,BKM120,1
1847,X-2564,PDAC,BKM120 + binimetinib,1
1854,X-3052,PDAC,BKM120 + binimetinib,1
1853,X-3038,PDAC,BKM120 + binimetinib,1
1863,X-3990,PDAC,BKM120 + binimetinib,1
1841,X-2081,PDAC,BKM120 + binimetinib,1
1833,X-1948,PDAC,BKM120 + binimetinib,1
1864,X-4015,PDAC,BKM120 + binimetinib,0
1845,X-2339,PDAC,BKM120 + binimetinib,1
298,X-2470,PDAC,BYL719,1
317,X-3038,PDAC,BYL719,0
315,X-3028,PDAC,BYL719,1
339,X-3947,PDAC,BYL719,0
291,X-2283,PDAC,BYL719,0
276,X-1948,PDAC,BYL719,1
340,X-3990,PDAC,BYL719,1
292,X-2339,PDAC,BYL719,1
462,X-3268,PDAC,BYL719 + LJM716,1
453,X-3052,PDAC,BYL719 + LJM716,1
478,X-4226,PDAC,BYL719 + LJM716,1
428,X-2339,PDAC,BYL719 + LJM716,1
414,X-1948,PDAC,BYL719 + LJM716,1
479,X-4316,PDAC,BYL719 + LJM716,1
433,X-2428,PDAC,BYL719 + LJM716,1
701,X-2470,PDAC,CLR457,1
726,X-3038,PDAC,CLR457,1
724,X-3028,PDAC,CLR457,1
752,X-3947,PDAC,CLR457,0
693,X-2283,PDAC,CLR457,0
677,X-1948,PDAC,CLR457,0
753,X-3990,PDAC,CLR457,1
695,X-2339,PDAC,CLR457,1
859,X-2633,PDAC,HDM201,1
880,X-3268,PDAC,HDM201,0
871,X-3052,PDAC,HDM201,1
894,X-4015,PDAC,HDM201,1
846,X-2339,PDAC,HDM201,1
835,X-2026,PDAC,HDM201,0
895,X-4018,PDAC,HDM201,0
851,X-2428,PDAC,HDM201,0
950,X-2564,PDAC,INC424,1
961,X-3268,PDAC,INC424,0
957,X-3052,PDAC,INC424,0
973,X-3990,PDAC,INC424,0
943,X-2339,PDAC,INC424,1
938,X-1948,PDAC,INC424,1
974,X-4015,PDAC,INC424,0
946,X-2428,PDAC,INC424,1
1062,X-2428,PDAC,LEE011,1
1087,X-3028,PDAC,LEE011,1
1086,X-2997,PDAC,LEE011,0
1119,X-3898,PDAC,LEE011,1
1047,X-2081,PDAC,LEE011,0
1009,X-1362,PDAC,LEE011,1
1120,X-3947,PDAC,LEE011,0
1055,X-2283,PDAC,LEE011,0
1203,X-2470,PDAC,LKA136,0
1221,X-3038,PDAC,LKA136,0
1220,X-3028,PDAC,LKA136,1
1241,X-3947,PDAC,LKA136,0
1196,X-2283,PDAC,LKA136,0
1189,X-1948,PDAC,LKA136,1
1242,X-3990,PDAC,LKA136,0
1197,X-2339,PDAC,LKA136,0
1887,X-2564,PDAC,WNT974,0
1902,X-3268,PDAC,WNT974,1
1899,X-3052,PDAC,WNT974,0
1917,X-4015,PDAC,WNT974,0
1884,X-2339,PDAC,WNT974,1
1878,X-1948,PDAC,WNT974,0
1918,X-4018,PDAC,WNT974,0
1885,X-2428,PDAC,WNT974,0
1405,X-2564,PDAC,binimetinib,1
1426,X-3052,PDAC,binimetinib,0
1425,X-3038,PDAC,binimetinib,1
1458,X-3947,PDAC,binimetinib,1
1384,X-2081,PDAC,binimetinib,1
1376,X-1948,PDAC,binimetinib,1
1459,X-4015,PDAC,binimetinib,1
1394,X-2339,PDAC,binimetinib,1
