,Model,Tumor,Treatment,BestResCatCalc
1933,X-4832,CM,WNT974,0
1907,X-3746,CM,WNT974,0
1440,X-3483,CM,binimetinib,1
1477,X-4668,CM,binimetinib,1
1372,X-1906,CM,binimetinib,1
1473,X-4538,CM,binimetinib,0
1408,X-2613,CM,binimetinib,1
1447,X-3773,CM,binimetinib,1
1481,X-4832,CM,binimetinib,0
1446,X-3746,CM,binimetinib,1
1735,X-3483,CM,encorafenib,1
1751,X-4668,CM,encorafenib,1
1706,X-1906,CM,encorafenib,1
1749,X-4538,CM,encorafenib,1
1719,X-2613,CM,encorafenib,1
1740,X-3773,CM,encorafenib,1
1752,X-4832,CM,encorafenib,0
1739,X-3746,CM,encorafenib,1
134,X-2484,CRC,BKM120,1
76,X-1303,CRC,BKM120,0
137,X-2538,CRC,BKM120,1
65,X-1027,CRC,BKM120,0
223,X-5405,CRC,BKM120,1
153,X-2861,CRC,BKM120,0
229,X-5578,CRC,BKM120,1
139,X-2573,CRC,BKM120,0
167,X-3224,CRC,BKM120,1
78,X-1329,CRC,BKM120,0
313,X-2861,CRC,BYL719,0
243,X-1290,CRC,BYL719,0
245,X-1303,CRC,BYL719,1
363,X-5446,CRC,BYL719,1
300,X-2484,CRC,BYL719,1
234,X-1027,CRC,BYL719,0
299,X-2483,CRC,BYL719,1
367,X-5578,CRC,BYL719,0
359,X-5254,CRC,BYL719,0
361,X-5405,CRC,BYL719,0
295,X-2374,CRC,BYL719,0
435,X-2484,CRC,BYL719 + LJM716,1
383,X-1303,CRC,BYL719 + LJM716,1
438,X-2538,CRC,BYL719 + LJM716,0
372,X-1027,CRC,BYL719 + LJM716,1
493,X-5405,CRC,BYL719 + LJM716,1
448,X-2861,CRC,BYL719 + LJM716,1
499,X-5578,CRC,BYL719 + LJM716,1
440,X-2573,CRC,BYL719 + LJM716,1
459,X-3224,CRC,BYL719 + LJM716,1
385,X-1329,CRC,BYL719 + LJM716,0
504,X-1027,CRC,CGM097,0
564,X-2573,CRC,CGM097,0
624,X-5446,CRC,CGM097,0
628,X-5578,CRC,CGM097,0
515,X-1329,CRC,CGM097,0
539,X-1855,CRC,CGM097,1
620,X-5254,CRC,CGM097,0
625,X-5494,CRC,CGM097,0
511,X-1290,CRC,CGM097,0
1665,X-2483,CRC,CKX620,1
1666,X-2484,CRC,CKX620,1
1688,X-5495,CRC,CKX620,1
1627,X-1027,CRC,CKX620,0
1689,X-5578,CRC,CKX620,1
1635,X-1303,CRC,CKX620,1
1674,X-3093,CRC,CKX620,1
1637,X-1329,CRC,CKX620,0
1681,X-4087,CRC,CKX620,1
1684,X-5405,CRC,CKX620,0
730,X-3093,CRC,CLR457,0
642,X-1290,CRC,CLR457,0
644,X-1303,CRC,CLR457,0
782,X-5446,CRC,CLR457,1
706,X-2538,CRC,CLR457,0
633,X-1027,CRC,CLR457,0
703,X-2484,CRC,CLR457,1
786,X-5578,CRC,CLR457,1
778,X-5254,CRC,CLR457,1
780,X-5405,CRC,CLR457,1
699,X-2403,CRC,CLR457,1
853,X-2484,CRC,HDM201,0
801,X-1303,CRC,HDM201,0
856,X-2538,CRC,HDM201,0
791,X-1027,CRC,HDM201,0
914,X-5405,CRC,HDM201,1
866,X-2861,CRC,HDM201,0
920,X-5578,CRC,HDM201,0
858,X-2573,CRC,HDM201,0
877,X-3224,CRC,HDM201,0
803,X-1329,CRC,HDM201,0
1084,X-2861,CRC,LEE011,0
1003,X-1290,CRC,LEE011,0
1005,X-1303,CRC,LEE011,1
1152,X-5446,CRC,LEE011,0
1065,X-2484,CRC,LEE011,1
994,X-1027,CRC,LEE011,0
1064,X-2483,CRC,LEE011,1
1156,X-5578,CRC,LEE011,1
1148,X-5254,CRC,LEE011,0
1150,X-5405,CRC,LEE011,1
1060,X-2374,CRC,LEE011,1
1795,X-2239,CRC,LFW527 + binimetinib,0
1812,X-5421,CRC,LFW527 + binimetinib,0
1764,X-1167,CRC,LFW527 + binimetinib,1
1810,X-5238,CRC,LFW527 + binimetinib,0
1769,X-1290,CRC,LFW527 + binimetinib,0
1800,X-2659,CRC,LFW527 + binimetinib,1
1813,X-5438,CRC,LFW527 + binimetinib,0
1799,X-2573,CRC,LFW527 + binimetinib,1
1204,X-2483,CRC,LKA136,1
1205,X-2484,CRC,LKA136,1
1266,X-5495,CRC,LKA136,1
1161,X-1027,CRC,LKA136,0
1268,X-5578,CRC,LKA136,0
1170,X-1303,CRC,LKA136,0
1225,X-3093,CRC,LKA136,0
1171,X-1329,CRC,LKA136,0
1245,X-4145,CRC,LKA136,0
1262,X-5405,CRC,LKA136,1
1401,X-2484,CRC,binimetinib,1
1345,X-1329,CRC,binimetinib,0
1404,X-2538,CRC,binimetinib,1
1333,X-1027,CRC,binimetinib,0
1491,X-5405,CRC,binimetinib,1
1420,X-2861,CRC,binimetinib,0
1497,X-5578,CRC,binimetinib,0
1406,X-2573,CRC,binimetinib,0
1435,X-3267,CRC,binimetinib,1
1350,X-1441,CRC,binimetinib,1
1610,X-2861,CRC,cetuximab,0
1569,X-1290,CRC,cetuximab,1
1570,X-1303,CRC,cetuximab,1
1623,X-5438,CRC,cetuximab,1
1604,X-2484,CRC,cetuximab,0
1562,X-1027,CRC,cetuximab,0
1603,X-2483,CRC,cetuximab,0
1626,X-5578,CRC,cetuximab,0
1620,X-4087,CRC,cetuximab,0
1621,X-5254,CRC,cetuximab,1
1601,X-2374,CRC,cetuximab,1
1713,X-2403,CRC,encorafenib,0
1696,X-1303,CRC,encorafenib,0
1714,X-2483,CRC,encorafenib,1
1690,X-1027,CRC,encorafenib,0
1756,X-5405,CRC,encorafenib,0
1724,X-2822,CRC,encorafenib,0
1761,X-5578,CRC,encorafenib,1
1715,X-2484,CRC,encorafenib,1
1729,X-3093,CRC,encorafenib,0
1697,X-1329,CRC,encorafenib,0
15,X-1658,NSCLC,BGJ398,0
18,X-1787,NSCLC,BGJ398,0
31,X-2082,NSCLC,BGJ398,0
41,X-3029,NSCLC,BGJ398,1
26,X-1934,NSCLC,BGJ398,1
12,X-1586,NSCLC,BGJ398,1
98,X-1787,NSCLC,BKM120,1
168,X-3237,NSCLC,BKM120,1
108,X-1934,NSCLC,BKM120,0
102,X-1834,NSCLC,BKM120,1
91,X-1586,NSCLC,BKM120,1
118,X-2088,NSCLC,BKM120,0
184,X-3843,NSCLC,BKM120,1
1825,X-1658,NSCLC,BKM120 + binimetinib,1
1828,X-1787,NSCLC,BKM120 + binimetinib,1
1842,X-2082,NSCLC,BKM120 + binimetinib,1
1852,X-3029,NSCLC,BKM120 + binimetinib,1
1832,X-1934,NSCLC,BKM120 + binimetinib,0
1824,X-1586,NSCLC,BKM120 + binimetinib,1
264,X-1683,NSCLC,BYL719,1
267,X-1823,NSCLC,BYL719,1
285,X-2088,NSCLC,BYL719,0
325,X-3237,NSCLC,BYL719,1
277,X-1980,NSCLC,BYL719,0
263,X-1658,NSCLC,BYL719,1
401,X-1658,NSCLC,BYL719 + LJM716,1
404,X-1787,NSCLC,BYL719 + LJM716,1
422,X-2082,NSCLC,BYL719 + LJM716,1
451,X-3029,NSCLC,BYL719 + LJM716,1
413,X-1934,NSCLC,BYL719 + LJM716,1
398,X-1586,NSCLC,BYL719 + LJM716,1
530,X-1658,NSCLC,CGM097,0
533,X-1787,NSCLC,CGM097,0
548,X-2082,NSCLC,CGM097,1
578,X-3029,NSCLC,CGM097,1
543,X-1934,NSCLC,CGM097,0
526,X-1586,NSCLC,CGM097,1
1646,X-1658,NSCLC,CKX620,0
1649,X-1787,NSCLC,CKX620,1
1659,X-2088,NSCLC,CKX620,1
1677,X-3237,NSCLC,CKX620,1
1654,X-1980,NSCLC,CKX620,1
1645,X-1586,NSCLC,CKX620,1
667,X-1787,NSCLC,CLR457,0
736,X-3237,NSCLC,CLR457,1
676,X-1934,NSCLC,CLR457,0
671,X-1834,NSCLC,CLR457,1
660,X-1586,NSCLC,CLR457,1
686,X-2088,NSCLC,CLR457,0
748,X-3843,NSCLC,CLR457,1
819,X-1658,NSCLC,HDM201,1
841,X-2094,NSCLC,HDM201,0
826,X-1834,NSCLC,HDM201,0
869,X-3029,NSCLC,HDM201,1
839,X-2082,NSCLC,HDM201,0
827,X-1835,NSCLC,HDM201,1
1026,X-1658,NSCLC,LEE011,0
1050,X-2094,NSCLC,LEE011,0
1033,X-1834,NSCLC,LEE011,1
1088,X-3029,NSCLC,LEE011,1
1045,X-2042,NSCLC,LEE011,0
1034,X-1835,NSCLC,LEE011,1
1778,X-1725,NSCLC,LFW527 + binimetinib,0
1792,X-2094,NSCLC,LFW527 + binimetinib,1
1783,X-1835,NSCLC,LFW527 + binimetinib,1
1804,X-3237,NSCLC,LFW527 + binimetinib,1
1790,X-2042,NSCLC,LFW527 + binimetinib,1
1785,X-1934,NSCLC,LFW527 + binimetinib,0
1286,X-1683,NSCLC,LLM871,1
1289,X-1823,NSCLC,LLM871,0
1302,X-2088,NSCLC,LLM871,1
1315,X-3237,NSCLC,LLM871,1
1297,X-1980,NSCLC,LLM871,0
1285,X-1658,NSCLC,LLM871,0
1365,X-1787,NSCLC,binimetinib,1
1434,X-3237,NSCLC,binimetinib,1
1375,X-1934,NSCLC,binimetinib,0
1369,X-1834,NSCLC,binimetinib,1
1358,X-1586,NSCLC,binimetinib,1
1386,X-2088,NSCLC,binimetinib,0
1452,X-3843,NSCLC,binimetinib,1
1582,X-1658,NSCLC,cetuximab,0
1585,X-1787,NSCLC,cetuximab,0
1595,X-2082,NSCLC,cetuximab,0
1611,X-3029,NSCLC,cetuximab,1
1590,X-1934,NSCLC,cetuximab,0
1581,X-1586,NSCLC,cetuximab,1
1515,X-1658,NSCLC,paclitaxel,1
1518,X-1787,NSCLC,paclitaxel,1
1531,X-2082,NSCLC,paclitaxel,0
1544,X-3237,NSCLC,paclitaxel,0
1526,X-1934,NSCLC,paclitaxel,0
1512,X-1586,NSCLC,paclitaxel,0
192,X-4018,PDAC,BKM120,0
219,X-5205,PDAC,BKM120,0
208,X-4649,PDAC,BKM120,1
115,X-2043,PDAC,BKM120,0
73,X-1289,PDAC,BKM120,0
145,X-2684,PDAC,BKM120,1
170,X-3268,PDAC,BKM120,1
210,X-4676,PDAC,BKM120,1
182,X-3800,PDAC,BKM120,1
1850,X-2997,PDAC,BKM120 + binimetinib,1
1869,X-4649,PDAC,BKM120 + binimetinib,1
1819,X-1317,PDAC,BKM120 + binimetinib,1
1867,X-4377,PDAC,BKM120 + binimetinib,1
1838,X-2026,PDAC,BKM120 + binimetinib,1
1858,X-3816,PDAC,BKM120 + binimetinib,1
1870,X-4676,PDAC,BKM120 + binimetinib,0
1857,X-3800,PDAC,BKM120 + binimetinib,1
1840,X-2043,PDAC,BKM120 + binimetinib,1
355,X-4927,PDAC,BYL719,0
357,X-5205,PDAC,BYL719,1
350,X-4649,PDAC,BYL719,1
282,X-2043,PDAC,BYL719,0
242,X-1289,PDAC,BYL719,0
309,X-2684,PDAC,BYL719,1
327,X-3268,PDAC,BYL719,1
351,X-4676,PDAC,BYL719,0
342,X-4018,PDAC,BYL719,0
439,X-2564,PDAC,BYL719 + LJM716,1
483,X-4649,PDAC,BYL719 + LJM716,1
487,X-4927,PDAC,BYL719 + LJM716,0
450,X-3028,PDAC,BYL719 + LJM716,0
420,X-2043,PDAC,BYL719 + LJM716,1
449,X-2997,PDAC,BYL719 + LJM716,0
484,X-4676,PDAC,BYL719 + LJM716,0
481,X-4378,PDAC,BYL719 + LJM716,1
754,X-4015,PDAC,CLR457,0
776,X-5205,PDAC,CLR457,1
764,X-4378,PDAC,CLR457,1
683,X-2043,PDAC,CLR457,0
641,X-1289,PDAC,CLR457,0
713,X-2684,PDAC,CLR457,0
738,X-3268,PDAC,CLR457,0
768,X-4649,PDAC,CLR457,1
744,X-3782,PDAC,CLR457,1
868,X-3028,PDAC,HDM201,1
904,X-4649,PDAC,HDM201,1
804,X-1362,PDAC,HDM201,0
901,X-4377,PDAC,HDM201,0
838,X-2081,PDAC,HDM201,0
889,X-3846,PDAC,HDM201,0
905,X-4676,PDAC,HDM201,1
887,X-3816,PDAC,HDM201,0
845,X-2283,PDAC,HDM201,0
955,X-3028,PDAC,INC424,1
979,X-4378,PDAC,INC424,0
926,X-1289,PDAC,INC424,0
976,X-4316,PDAC,INC424,1
940,X-2043,PDAC,INC424,0
967,X-3800,PDAC,INC424,1
981,X-4649,PDAC,INC424,0
966,X-3782,PDAC,INC424,0
1121,X-3990,PDAC,LEE011,0
1144,X-4927,PDAC,LEE011,0
1131,X-4378,PDAC,LEE011,0
1041,X-1959,PDAC,LEE011,0
1002,X-1289,PDAC,LEE011,0
1073,X-2633,PDAC,LEE011,0
1090,X-3052,PDAC,LEE011,1
1138,X-4649,PDAC,LEE011,0
1101,X-3268,PDAC,LEE011,1
1256,X-4927,PDAC,LKA136,0
1258,X-5205,PDAC,LKA136,1
1252,X-4649,PDAC,LKA136,1
1191,X-2043,PDAC,LKA136,0
1167,X-1289,PDAC,LKA136,1
1214,X-2684,PDAC,LKA136,0
1230,X-3268,PDAC,LKA136,1
1253,X-4676,PDAC,LKA136,1
1244,X-4018,PDAC,LKA136,0
1897,X-3028,PDAC,WNT974,1
1930,X-4649,PDAC,WNT974,0
1874,X-1289,PDAC,WNT974,0
1923,X-4377,PDAC,WNT974,1
1880,X-2081,PDAC,WNT974,0
1911,X-3816,PDAC,WNT974,0
1932,X-4676,PDAC,WNT974,0
1910,X-3800,PDAC,WNT974,1
1882,X-2283,PDAC,WNT974,0
1460,X-4018,PDAC,binimetinib,1
1487,X-5205,PDAC,binimetinib,1
1476,X-4649,PDAC,binimetinib,1
1381,X-2026,PDAC,binimetinib,1
1343,X-1317,PDAC,binimetinib,1
1422,X-2997,PDAC,binimetinib,0
1448,X-3782,PDAC,binimetinib,1
1478,X-4676,PDAC,binimetinib,0
1450,X-3800,PDAC,binimetinib,1
